date,Joe Biden,Donald Trump,Trump,Republicans,Democrats,AOC,Bernie Sanders,Elizabeth Warren,Michael Bloomberg,Roger Stone,Fox News
2020-07-24,38,0,14,0,0,100,0,0,0,0,34
2020-07-25,0,0,37,0,0,0,0,0,0,0,0
2020-07-26,0,0,36,0,0,0,0,0,0,0,0
2020-07-27,0,0,38,0,0,0,0,0,0,0,0
2020-07-28,0,0,28,0,0,0,0,0,0,0,36
2020-07-29,45,32,23,0,0,0,0,0,0,0,33
2020-07-30,0,0,16,0,0,0,0,0,0,0,37
2020-07-31,0,0,16,0,84,0,0,0,0,0,0
2020-08-01,0,0,58,63,0,0,0,0,0,0,0
2020-08-02,42,38,24,0,0,0,0,0,0,0,0
2020-08-03,0,0,18,0,0,0,0,0,0,0,0
2020-08-04,0,0,33,0,89,0,0,0,0,0,38
2020-08-05,0,0,25,0,0,0,0,0,0,0,0
2020-08-06,0,45,15,0,0,0,0,0,0,0,0
2020-08-07,44,40,26,0,0,0,0,0,0,0,0
2020-08-08,0,0,29,0,0,0,0,0,0,0,40
2020-08-09,44,56,41,0,0,0,0,0,0,0,0
2020-08-10,0,0,16,0,0,0,0,0,0,0,37
2020-08-11,0,0,30,0,0,0,0,0,0,0,34
2020-08-12,0,0,15,0,0,0,0,0,0,0,0
2020-08-13,0,0,29,0,0,0,0,0,0,0,0
2020-08-14,0,0,16,0,0,0,0,0,0,0,35
2020-08-15,0,45,33,0,100,0,0,0,0,0,0
2020-08-16,0,0,31,0,0,0,0,0,0,0,45
2020-08-17,0,0,20,0,74,0,0,0,0,0,34
2020-08-18,0,34,15,0,0,0,0,0,0,0,0
2020-08-19,0,0,20,0,0,0,0,0,0,0,0
2020-08-20,0,35,33,0,70,0,0,0,0,0,32
2020-08-21,36,0,14,0,0,0,0,0,0,0,0
2020-08-22,54,0,41,0,0,0,0,0,0,0,0
2020-08-23,0,0,31,0,0,0,0,0,0,0,37
2020-08-24,0,0,15,0,0,0,0,0,0,0,0
2020-08-25,0,36,13,0,0,0,0,0,0,0,37
2020-08-26,35,30,22,46,0,0,0,0,0,0,31
2020-08-27,0,0,18,0,68,0,0,0,0,0,0
2020-08-28,0,44,18,0,0,0,0,0,0,0,29
2020-08-29,0,0,17,0,0,0,0,0,0,0,0
2020-08-30,0,0,38,0,0,0,0,0,0,0,49
2020-08-31,0,0,34,0,0,0,0,0,0,0,35
2020-09-01,0,0,14,0,0,0,0,0,0,0,0
2020-09-02,0,0,23,0,73,0,0,0,0,0,0
2020-09-03,0,0,13,0,0,0,0,100,0,0,0
2020-09-04,0,0,61,0,0,0,0,0,0,0,32
2020-09-05,0,0,40,0,0,0,0,0,0,0,0
2020-09-06,59,45,63,0,0,0,0,0,0,0,0
2020-09-07,0,41,29,0,0,0,0,0,0,0,88
2020-09-08,0,0,21,0,0,0,0,0,0,0,0
2020-09-09,0,35,40,0,0,0,0,0,0,0,0
2020-09-10,31,28,48,0,0,0,0,0,0,0,28
2020-09-11,0,0,14,0,0,0,0,0,0,0,38
2020-09-12,0,0,24,0,0,0,0,0,0,0,0
2020-09-13,0,0,17,0,0,0,0,0,0,0,0
2020-09-14,0,0,28,0,0,0,0,0,0,0,0
2020-09-15,34,30,33,0,0,0,0,0,0,0,0
2020-09-16,0,0,26,0,0,0,0,0,0,0,95
2020-09-17,0,0,11,0,0,0,0,0,0,0,0
2020-09-18,0,0,32,0,0,0,0,0,0,0,31
2020-09-19,0,0,25,0,81,0,0,0,0,0,46
2020-09-20,0,0,19,0,0,0,0,0,0,0,44
2020-09-21,0,0,38,0,0,0,0,0,0,0,0
2020-09-22,0,35,20,0,79,0,0,0,0,0,37
2020-09-23,0,38,16,0,0,0,0,0,0,0,0
2020-09-24,0,0,32,0,0,0,0,0,0,0,0
2020-09-25,46,0,79,60,89,0,0,0,0,0,41
2020-09-26,0,0,20,0,0,0,0,0,0,0,0
2020-09-27,0,0,35,0,0,0,0,0,0,0,0
2020-09-28,0,0,42,55,0,0,0,98,0,0,0
2020-09-29,0,0,43,0,91,0,0,0,0,0,0
2020-09-30,46,44,68,0,0,0,0,0,0,0,90
2020-10-01,0,0,29,0,0,0,0,0,0,0,0
2020-10-02,45,48,81,0,0,0,0,0,0,0,0
2020-10-03,0,0,87,0,0,0,0,0,0,0,48
2020-10-04,0,45,100,0,0,0,0,0,0,0,0
2020-10-05,45,36,70,0,79,0,0,0,0,0,0
2020-10-06,44,0,70,0,0,0,0,0,0,0,35
2020-10-07,0,0,20,0,0,0,0,0,0,0,35
2020-10-08,45,87,51,0,0,0,0,0,0,0,36
2020-10-09,0,0,47,0,0,0,0,0,0,0,46
2020-10-10,0,40,19,0,0,0,0,0,0,0,0
2020-10-11,0,0,18,0,0,0,0,0,0,0,0
2020-10-12,0,0,37,0,0,0,0,0,0,0,34
2020-10-13,0,47,38,0,0,0,0,0,0,0,40
2020-10-14,0,0,0,0,0,0,0,0,0,0,0
2020-10-15,0,0,25,0,0,0,0,0,0,0,49
2020-10-16,0,0,74,0,0,0,0,0,0,0,41
2020-10-17,58,0,45,0,0,0,0,0,0,0,52
2020-10-18,0,0,29,0,100,0,0,0,0,0,0
2020-10-19,100,40,29,60,97,0,0,0,0,0,0
2020-10-20,0,0,40,0,0,0,0,0,0,0,0
2020-10-21,46,67,37,0,0,0,0,0,0,0,0
2020-10-22,0,54,18,0,0,0,0,0,0,0,0
2020-10-23,69,61,41,0,0,0,0,0,0,0,41
2020-10-24,0,0,65,0,85,0,0,0,0,0,0
2020-10-25,0,0,47,0,0,0,0,0,0,0,91
2020-10-26,0,0,20,0,0,0,0,0,0,0,38
2020-10-27,48,0,57,0,0,99,0,0,0,0,43
2020-10-28,40,40,29,53,0,0,0,0,0,0,0
2020-10-29,0,38,34,0,0,0,0,0,0,0,42
2020-10-30,54,100,30,0,0,0,0,0,0,0,98
2020-10-31,0,0,30,0,0,0,0,0,0,0,51
2020-11-01,0,0,34,0,0,0,0,0,0,0,0
2020-11-02,0,44,47,0,0,0,0,0,0,0,0
